title,work place,division
2019년도 상반기 정규직/전문계약직 수시 공개채용 공고,대전 유성구 외,"항공, 국방과학연구소, 지식재산권, 프로젝트 관리, 공공기관, 공무원, 연구소, 항공, 항공기계, 경영기획, 사업기획, 신규사업·BD, 문서관리, 사무행정, 항공사무, 인사기획, 문서관리, OA, 회계, 홍보, 홍보기획, 에너지, 화학, 항공관제, 경영기획, 경영분석"
2019년 공무직 및 업무직 채용,경기 전지역 외,"공공기관, 공기업, 공사, 노무법인, 로펌, 법무법인, 변호사사무실, 경영기획, 기획, 사업기획, 공무, 관리, 문서관리, 문서수발, 사무관리, 사무행정, 총무, 인사, 인재개발, 문서관리, 사무보조, 전산입력, 전산편집, 전산회계, 결산, 경영지원, 관리회계, 부가세신고, 세무, 원가회계, 전산회계, 회계, 회계감사, 결산, 세무, 재무, 재무회계, 대리운전, 버스기사, 수행기사, 승용기사, 운전기사, 검증, 리눅스, 웹마스터, 유닉스, 테스터, QA, Windows, 네트워크관리, 네트워크엔지니어, 서버관리자, 서버구축, 시스템운영, 웹프로그래머, 응용프로그래머, 전산전공, 시스템프로그래머, 시스템분석, 시스템설계, 시스템엔지니어, 유지보수, 펌웨어, 하드웨어, 소프트웨어, 단체급식, 양식, 요리사, 일식, 조리사, 주방보조, 중식, 한식, Chef"
인천공항시설관리(주) 운영분야 여객터미널 사업소 계약직 채용,인천 중구,"시설관리, 안내, 공항지상직"
인천공항시설관리(주) 사업소별 정규직 채용,인천 중구,"시설관리, 시설관리, 환경관리"
사회보장정보원 채용(기간제 운전원),서울 중구,"공공기관, 운전기사"
환경기술본부 위촉직(계약직) 채용 공고,계약직,"공공기관, 연구원, 환경"
한국산업기술시험원 원주지역 위촉직(계약직) 채용공고,계약직,"공공기관, 시설관리"
베트남어 통역상담관(공무직) 채용(영사콜센터),서울 중구,"콜센터, 베트남어, 통역"
경제연구소 자체직원(국가경쟁력연구센터) 모집,서울 관악구,"회계, 행정직"
(긴급)생의학오믹스연구부 학연협동과정 학생연구원 모집,충북 청주시,"바이오마이크로 시스템학, 바이오"
전자현미경연구부 박사후연수원 채용,대전 유성구,"생물공학, 소재개발, 이차전지, 재료공학, 화학"
2019년 무기직/기간제근로자 (블라인드) 채용,인천 서구,"회계, 기획연구, 항공안전, 헬기, 품질시스템 평가, 항공기/엔진/부품, ATM체계 구축, 인증과제, 드론인증센터 설계/건축/감리, 통계·로그분석, 빅데이터, 건축"
2019년 1분기 무기계약직(경력/신입) 채용,전남 나주시,"사업관리, 콘텐츠산업, 게임학, 경영기획, 사무행정"
"위촉직 부연구위원, 위촉직 연구원 채용",서울 서초구,"유아교육 교육력 제고, 홍보, 교육기획, 교육프로그램"
인도네시아 거점센터장 및 행정일반(별정직) 채용,서울 중구,"경영기획, 경영혁신, 기획, 사업기획, CEO, 사무관리, 사무행정"
2019년도 제2차 핵심연구분야 우수인력 채용,서울 중구,"글로벌협력, 정책, 정책연구, 기획, 사업기획, 사업제휴"
2019년도 제2차 Post-doc 채용,서울 중구,"기관, 녹색기술, 연구, 전략기획, 경영기획, 기획, 사업기획, 시장분석"
청년인턴 채용,서울 서초구,"유아교육, 교육학, 보육, 사회정책, 심리학, 아동학, 행정학, 여성정책, 육아정책연구, 전략"
한국석유관리원 정규직 신입직원 채용,전국,"공공기관, 공기업, 생산관리, 품질, 품질검사, 품질관리, 품질보증, QA, 설비, 기구설계, 기술연구소, 기술직, 생산기술, 연구관리, 연구원, 제어, 제품개발, 기술연구소, 기술직, 생산기술, 연구관리, 연구원, 전기·전자, 제어, 제품개발, 회로설계, 기구설계, 기술연구소, 기술직, 생산기술, 실험, 에너지, 연구관리, 연구원, 원자력, 제품개발, 플라스틱·PVC, 화학, 공정엔지니어, 설계엔지니어, 전기·전자회로, 품질엔지니어, 회로설계, 건축설계, 네트워크엔지니어"
(재)전남생물산업진흥원 위촉직원 채용 공고,전남 나주시 외,"바이오, 식품, 식품가공·개발, 의약품, 미생물"
전북본부 장애인 청년인턴(사무보조직) 채용(1차공고),전북 전주시,사무보조
(인프라안전연구본부-구조공학 분야) 박사후연구원 채용,경기 고양시,"구조공학, 토목구조, 토목, 구조"
기후대기본부 악취관리처 기간제근로자(촉탁직) 채용 재공고,대전 서구,"시료채취, 기획조사, 대기환경"
약학대학 중앙기기실 직원 채용,서울 관악구,"행정직, 의약사무"
"대체근무자 연구직(계약직 부연구위원, 계약직 연구원) 채용",서울 서초구,"연구직, 연구지원, 사무보조"
[국립백두대간수목원] 공무직 공개채용 및 장애인 제한경쟁채용,경북 봉화군 외,"건축설계, 기계설비, 사무보조, 에너지, 임업, 교육프로그램, 사육사, 산림치유, 종자관리, 트램, 해설사, 식물모니터링, 운전기사, 고객지원, 정비"
횡성원주권지사 단기계약근로자 채용,강원 원주시,"관로감시원, 상하수도, 시설관리"
해외사업 현지 전문가 채용(기간제근로자),경북 경주시 외,"사업수주, 입찰지원, 해외플랜트사업, 루마니아, 기획조사"
충북본부 사무보조업무 장애인인턴 3차공고,충북 청주시,사무보조
무기계약직 간호직 (보험심사팀) 채용,부산 기장군,"보험심사팀, 간호사"
경남본부 위촉연구원 채용(19년도 경남 버스운전자 양성사업),경남 창원시,사무보조
정규직 및 무기계약직 채용,경기 성남시 외,"임베디드, 산업안전관리, 스마트가전, 에너지변환, 영상처리, 인공지능, 자율주행, IT응용, ICT, IT융합, SoC플랫폼, VR/AR, 연구원, 산업안전, 안전, 위험물관리"
2019년 기간제 전문계약직 채용(사내변호사 · 노무사 · PD),서울 전지역 외,"스튜디오, 편집실, 공공기관, 공기업, 공사, 노무법인, 로펌, 법무법인, 변호사사무실, 법무, 노무, 노사관리, 영상편집, 인코딩, 방송제작, 방송기술, 사진촬영기사, 스튜디오, 영사기사, 영상편집, 카메라, 노무사, 로스쿨, 법률서비스, 변호사, 소송·민사·등기, 채권관리, 노무관리"
서울시여성가족재단 2019년 제2회 계약직 직원(수탁기관장 여성능력개발원장) 채용 공고,서울 마포구,"지방자치단체, 경영기획, 사업기획"
한국지역정보개발원 업무지원요원(위촉연구원) 채용,서울 마포구,공공기관
[사회복지공동모금회]경력직원(정보시스템운영담당) 모집,서울 중구,"NGO, 시스템운영"
대구경북지역본부 환경시설관리처 기간제근로자(일용직) 채용 재공고(2차)-울릉남양하수,경북 울릉군,"사무보조, 일용직"
대구경북지역본부 환경시설관리처 기간제근로자(일용직) 채용 재공고-울진북면하수,경북 울진군,"사무보조, 일용직"
대구경북지역본부 환경시설관리처 기간제근로자(촉탁직) 채용 재공고-구미침수예방,경북 구미시,토목
대구경북지역본부 환경시설관리처 기간제근로자(촉탁직) 채용 재공고-구미선산하수,경북 구미시,전기설비
디자인파크개발 해외 자제구매 업무 채용(경력직),서울 강서구,"
경력
초대졸↑
서울 강서구
정규직
과장~차장급
"
[정규직] 웨이고 waygo 택시운전기사님을 모십니다,정규직,"
경력
학력무관
서울 전지역
정규직
250만원 이상(월)
사원급 외

"
기술연구소장 채용,경기 전지역,"
경력20년↑
석사↑
경기 전지역
정규직
임원~CEO
"
디자인파크개발 기술개발연구소 소장 모집,경기 김포시,"
경력
대졸↑
경기 김포시
정규직

"
국내 교육기관 - 국제협력 채용,전국,"
경력
대졸↑
전국
계약직
사원급
"
디자인파크개발 기술개발연구소 소장 채용,경기 김포시,"
경력
대졸↑
경기 김포시
정규직

"
"
                                        성동구 청년 바리스타 취업 과정 참여 청년 모집","정규직                 외
","카페, 바리스타"
"
                                        [일본근무] 게임회사 중국어 통번역",일본 도쿄,"퍼블리싱, 일본어, 중국어"
"
                                        [일본근무] 호텔스탭 모집",일본 홋카이도 외,"유학원, 안내, 프런트, 호텔사무"
"
                                        [일본근무][IT] 시스템 엔지니어 모집",일본 사이타마 외,"유학원, .NET, Java, .NET, C#, C++, Windows, 시스템엔지니어"
